source,group,feature,icc_2_1,n_subjects,n_trials,trial_ids_used,ms_subject,ms_trial,ms_error
HE_Gyr_Magnitude,healthy,HE_Gyr_Magnitude_std_angular_acceleration,0.4411555810617022,2,10,"1,2,3,4,5,6,7,8,9,10",8.280746483359192,0.9418808399070728,0.9223932644986199
HE_Gyr_Magnitude,neuro,HE_Gyr_Magnitude_avg_stride_time,0.6280316724348102,2,20,"1,2,3,4,5,6,7,8,9,10,13,14,11,12,15,16,17,18,19,20",0.03957014487991608,0.0007899218070444314,0.001466846564847626
HE_Gyr_Magnitude,neuro,HE_Gyr_Magnitude_max_stride_time,-0.035117554068994444,2,20,"1,2,3,4,5,6,7,8,9,10,13,14,11,12,15,16,17,18,19,20",0.1452025000000012,0.4244130263157895,0.4376761842105264
HE_Gyr_Magnitude,neuro,HE_Gyr_Magnitude_std_stride_time,-0.0493997738386944,2,20,"1,2,3,4,5,6,7,8,9,10,13,14,11,12,15,16,17,18,19,20",1.1925662652279054e-05,0.01040260175178015,0.009275040776938514
HE_Gyr_Magnitude,neuro,HE_Gyr_Magnitude_u_turn_time,0.2742896923263524,2,20,"1,2,3,4,5,6,7,8,9,10,13,14,11,12,15,16,17,18,19,20",1.31769,0.12723684210526312,0.1750742105263158
HE_Gyr_Magnitude,neuro,HE_Gyr_Magnitude_gait_cadence,0.46762370496254907,2,20,"1,2,3,4,5,6,7,8,9,10,13,14,11,12,15,16,17,18,19,20",0.11221842131433102,0.005152369575817074,0.006844187408728296
HE_Gyr_Magnitude,neuro,HE_Gyr_Magnitude_avg_angular_velocity_peak,0.19745284412761396,2,20,"1,2,3,4,5,6,7,8,9,10,13,14,11,12,15,16,17,18,19,20",0.23315262098790895,0.028660556875122672,0.04700084084830759
HE_Gyr_Magnitude,neuro,HE_Gyr_Magnitude_max_angular_velocity_peak,0.19590044659304504,2,20,"1,2,3,4,5,6,7,8,9,10,13,14,11,12,15,16,17,18,19,20",1.3274301151777224,0.20884042880255618,0.23823447307646575
HE_Gyr_Magnitude,neuro,HE_Gyr_Magnitude_std_angular_velocity_peak,-0.04747075888551982,2,20,"1,2,3,4,5,6,7,8,9,10,13,14,11,12,15,16,17,18,19,20",0.005401037973021172,0.0170618543441185,0.02401834091521074
HE_Gyr_Magnitude,neuro,HE_Gyr_Magnitude_avg_angular_acceleration,0.5128118985682136,2,20,"1,2,3,4,5,6,7,8,9,10,13,14,11,12,15,16,17,18,19,20",5.984624034237578,0.3563278200439429,0.1938177458587658
